Sample_ID_IfH,Organism_Code,meropenem,ertapenem,tobramycin,tigecycline,piperacillin-tazobactam,cefotaxime,cefpodoxime,amoxicillin-clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,cefepime,trimethoprim,trimethoprim-sulfamethoxazole,norfloxacin,ciprofloxacin,nitrofurantoin,ceftazidime,sulfamethoxazole,aztreonam,ceftolozane-tazobactam,cefuroxime,Imipenem,ampicillin-sulbactam,ceftazidime-avibactam,cefazolin,levofloxacin,moxifloxacin,ticarcillin-clavulanic acid,piperacillin,colistin,fosfomycin
573.13701,EKP,S,,S,,S,,,,R,S,S,R,R,,R,,R,,R,,R,,R,S,R,,R,S,,,,,
573.13675,EKP,S,,R,,R,,,,R,R,S,R,R,,R,,R,,R,,R,,R,S,R,,R,S,,,,,
573.14038,EKP,S,,S,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.13172,EKP,S,,S,,R,,,,R,S,S,R,S,,S,,R,,R,,R,,R,R,R,,R,R,,,,,
573.5661,EKP,S,S,R,R,R,R,,R,R,R,S,,S,R,,,R,,S,,S,,R,,,,,,,,,,
72407.548,EKP,S,S,R,R,R,R,,R,R,R,S,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.13285,EKP,S,,R,,R,,,,R,R,S,R,S,,S,,R,,R,,R,,R,S,R,,R,R,,,,,
573.13606,EKP,S,,S,,R,,,,R,S,S,R,,,S,,R,,R,,R,,R,S,R,,R,R,,,,,
573.14805,EKP,R,R,,,,,,,,R,R,,,,R,,R,,,,,,,R,,,,,,,,,
573.42953,EKP,R,R,S,R,S,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.14487,EKP,S,,S,,S,,,,R,S,S,R,,,S,,R,,R,,R,,R,S,R,,R,R,,,,,
573.13491,EKP,S,,R,,R,,,,R,S,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.44131,EKP,R,,R,R,R,R,R,,R,S,S,R,R,,R,,R,,R,,R,R,R,R,R,R,R,R,R,,,,
573.14402,EKP,S,,R,,R,,,,R,R,S,R,R,,R,,R,,R,,R,,R,S,R,,R,S,,,,,
573.41135,EKP,R,R,S,R,S,R,R,,S,S,S,R,R,,R,,R,,S,,S,R,S,R,S,R,S,R,R,,,,
573.42021,EKP,R,R,R,R,R,R,R,,R,R,S,R,R,,R,,R,,R,,R,R,R,R,R,S,R,R,R,,,,
573.5663,EKP,S,S,R,R,R,R,,R,R,R,S,,R,R,,,R,,R,,R,,R,,,,,,,,,,
573.13994,EKP,S,,R,,R,,,,R,S,S,R,R,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
573.12979,EKP,S,,R,,S,,,,R,S,S,R,R,,R,,S,,R,,R,,,S,R,,R,S,,,,,
573.14035,EKP,S,,S,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,S,R,,R,R,,,,,
72407.566,EKP,S,S,R,R,R,R,,R,R,R,R,,R,,R,,R,,R,,R,,R,,,,,,,,,,
573.14133,EKP,S,,R,,R,,,,R,R,S,R,S,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
573.42942,EKP,R,R,S,R,R,R,R,,R,S,S,R,R,,R,,R,,S,,S,R,S,R,R,R,S,R,R,,,,
573.13318,EKP,S,,R,,S,,,,R,R,S,R,R,,R,,R,,R,,R,,R,S,R,,R,S,,,,,
573.43106,EKP,R,R,R,R,R,R,R,,R,S,S,R,S,,R,,R,,R,,R,R,R,R,R,R,R,R,R,,,,
573.14498,EKP,S,,R,,R,,,,R,R,R,R,R,,R,,R,,R,,R,,R,R,R,,R,R,,,,,
