Sample_ID_IfH,Organism_Code,Imipenem,amikacin,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim-sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin-tazobactam,tobramycin,colistin,cefotaxime,cefuroxime,ampicillin,amoxicillin-clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime-avibactam,cefpodoxime,ceftriaxone,doripenem,ampicillin-sulbactam,piperacillin,Imipenem-relebactam,ceftolozane-tazobactam,ceftaroline,cefazolin,nitrofurantoin,ofloxacin,cefiderocol,ticarcillin-clavulanic acid,amoxicillin,sulfamethoxazole
573.4062,EKP,S,,S,,,,,,,S,R,,,S,R,,R,S,R,,,,,,,,,,,,,,,,,
72407.2795,EKP,S,S,S,,S,S,R,,R,,R,,S,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24353,EKP,R,S,S,,,S,,,R,,R,S,S,R,,R,R,R,S,,,,R,R,,,,,,R,,,,,,
1284797.4,EKP,S,S,R,S,S,S,S,R,R,S,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.4065,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
573.66521,EKP,,,R,R,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66062,EKP,S,,S,S,S,S,,,,R,,,S,R,S,,,S,S,,,R,R,S,R,R,,,,,,,,,,
573.7087,EKP,S,,R,,,,,,,R,R,,,R,R,,R,R,R,,,,,,,,,,,,,,,,,
574.74,EKP,,,S,R,,,,,,R,,S,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
573.66303,EKP,,S,,R,,,,,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.66415,EKP,,S,S,,,,,R,R,R,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.5647,EKP,R,R,,R,R,,R,,,,R,R,R,R,,R,,R,,,,,,,R,,,,R,R,,,,,,
72407.2198,EKP,S,,S,,,S,,,,S,,S,,R,S,,,R,R,,,R,R,S,S,R,,,,,,,,,,
573.7033,EKP,S,R,R,R,S,R,R,R,R,R,R,R,S,R,,R,R,R,S,,,,R,S,R,,,,,R,,,,,,
573.66025,EKP,S,R,R,R,S,,R,,R,R,,,R,R,R,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.24385,EKP,,,R,R,S,,R,R,,,,R,R,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.24326,EKP,R,,S,,,,R,,R,R,R,R,S,R,,R,R,R,R,,,,R,R,,,,,,R,,,,,,
573.65988,EKP,S,,,R,S,S,R,,R,,R,R,S,R,S,,,R,R,,,R,R,S,R,R,,,,,,,,,,
573.46361,EKP,,R,,,R,,,,,,,,,R,,,,R,S,,,,R,,,R,,,,,,,,,,
573.66021,EKP,S,S,,R,,,,,R,,S,,S,R,R,,,R,R,,,R,R,R,R,R,,,,,,,,,,
72407.2735,EKP,S,S,,,,,R,,S,R,,,S,R,S,,,S,R,,,R,R,S,R,R,,,,,,,,,,
573.66353,EKP,,,R,,,,,,R,,,,,R,R,R,R,R,,,,,,,,,,,,,,,,,,
573.29921,EKP,,S,S,,,,R,R,,,,,S,,,,,,S,,S,,,,,,,,,,,,,,,
1284806.4,EKP,S,S,R,S,S,R,R,R,R,R,R,R,S,R,,,,R,S,,,,,S,,,,,,,,,,R,,
573.29952,EKP,,,S,,R,,,R,,,,,R,,,,,,S,,S,,,,,,,,,,,,,,,
573.7043,EKP,S,,S,,,,,,,R,R,,,R,R,,R,R,S,,,,,,,,,,,,,,,,,
